frame,time_sec,head_pitch_deg,abdomen_y_deg,abdomen_x_deg,hip_y_left_deg,hip_y_right_deg,knee_left_deg,knee_right_deg,ankle_y_left_deg,ankle_y_right_deg,shoulder1_left_deg,shoulder1_right_deg,shoulder2_left_deg,shoulder2_right_deg,elbow_left_deg,elbow_right_deg,wrist_left_deg,wrist_right_deg,gripper_left_dist,gripper_right_dist
57,0.9507000000000001,107.125,1.798,2.942,176.40094021151714,166.41194836761616,160.0,159.99988216041407,76.00367516952217,66.083289005062,24.863,21.433,90.492,121.093,137.505,150.0,126.658,147.541,0.008,0.008
58,0.9674000000000003,107.086,1.881,2.187,176.66421646701204,166.47602316825765,160.0,160.0,76.52933595058286,65.66475550540633,22.604,21.28,88.197,119.799,137.589,150.0,130.391,148.329,0.007,0.008
59,0.9841,106.669,1.827,1.185,176.19798132057133,166.4341598212615,160.0,160.0,77.91602733516876,66.19222865759227,21.807,21.16,88.261,119.396,137.218,150.0,131.747,150.62,0.007,0.008
60,1.0007,106.67,1.734,1.064,174.87390486860474,166.32250387132905,160.0,160.0,80.1674980451248,67.41946811677963,22.051,21.513,88.543,119.8,136.859,150.0,130.854,149.42,0.007,0.008
61,1.0174,109.344,1.765,1.106,172.76324737936693,166.19514358365535,160.0,160.0,83.13561716981232,69.16029415006713,20.645,21.895,86.956,116.917,135.874,150.0,132.617,152.926,0.006,0.008
62,1.0341000000000002,112.022,1.802,0.883,170.14930013127622,166.11123298806496,160.0,160.0,86.47744594620058,71.29812828551985,20.584,21.854,87.781,114.964,135.243,150.0,132.821,152.622,0.006,0.008
63,1.0508,114.093,1.743,0.326,167.42001230314597,166.12420835728608,160.0,160.0,89.808373815865,73.7316754732249,19.466,20.632,86.972,112.271,134.854,150.0,132.947,153.408,0.006,0.007
64,1.0675000000000001,115.163,1.532,0.09,164.91904784402732,166.2714679261366,159.99981624786886,160.0,92.9459675526924,76.30013476489847,20.735,20.949,89.371,112.397,133.241,150.0,129.606,153.679,0.007,0.007
65,1.0841,115.889,1.398,0.373,162.86306056815513,166.56864332886235,159.9979192935628,160.0,96.015491564994,78.75260863222935,20.56,20.109,90.731,112.581,132.861,150.0,122.515,155.135,0.009,0.006
66,1.1008000000000002,114.955,1.508,0.374,161.3586110281158,167.013365992653,159.98672503983428,160.0,99.34507145691205,80.78989708951485,20.367,19.221,89.987,112.534,134.008,150.0,124.863,155.255,0.008,0.007
67,1.1175,115.688,1.32,0.438,160.46537845575003,167.59033949427632,159.93500894726563,160.0,103.28493303786655,82.15111081995664,20.231,20.392,89.597,112.958,135.798,150.0,125.155,157.214,0.009,0.007
68,1.1342,119.896,1.506,0.692,160.25001182328552,168.26544020043812,159.74567706564903,160.0,108.09305888269918,82.68918133824687,22.374,19.991,92.343,113.179,136.084,150.0,128.719,157.305,0.009,0.007
69,1.1509000000000003,119.246,1.673,0.551,160.79074679549058,168.9776359245638,159.18647463370664,160.0,113.88926238404953,82.41906969514527,22.209,20.103,92.225,113.795,134.581,150.0,128.984,156.969,0.009,0.007
70,1.1675000000000002,117.417,1.814,0.683,162.10149147109058,169.65088736296076,157.85022059543044,160.0,120.61166412370643,81.54197102722065,25.653,18.587,95.697,112.958,134.231,150.0,131.356,158.275,0.009,0.007
