frame,time_sec,head_pitch_deg,abdomen_y_deg,abdomen_x_deg,hip_y_left_deg,hip_y_right_deg,knee_left_deg,knee_right_deg,ankle_y_left_deg,ankle_y_right_deg,shoulder1_left_deg,shoulder1_right_deg,shoulder2_left_deg,shoulder2_right_deg,elbow_left_deg,elbow_right_deg,wrist_left_deg,wrist_right_deg,gripper_left_dist,gripper_right_dist
75,1.2509,159.030,1.681,16.821,162.506,154.191,160.000,160.000,55.870,85.406,38.321,20.788,100.274,104.755,150.000,128.915,129.914,146.093,0.030,0.013
76,1.2676,159.461,1.804,17.165,162.990,154.403,160.000,160.000,55.807,84.400,39.019,21.454,100.453,106.127,150.000,127.578,130.709,143.885,0.029,0.013
77,1.2843,159.454,1.948,23.970,162.813,155.945,160.000,160.000,54.281,83.857,39.375,22.455,100.735,107.392,150.000,125.511,129.419,143.980,0.030,0.014
78,1.3010,159.321,1.981,23.079,163.780,156.124,160.000,160.000,55.413,84.872,38.997,23.342,100.584,108.005,150.000,125.370,130.330,143.920,0.030,0.014
79,1.3176,159.958,2.167,24.198,161.417,158.855,160.000,160.000,59.603,87.835,39.239,24.141,100.679,108.489,150.000,124.983,132.808,145.247,0.030,0.014
80,1.3343,159.930,2.100,19.020,162.220,159.452,160.000,160.000,58.278,90.369,39.194,24.265,101.460,108.084,150.000,124.704,133.348,146.661,0.030,0.014
81,1.3510,160.269,2.075,14.600,161.839,158.894,160.000,160.000,58.495,91.698,39.515,24.836,101.880,108.165,150.000,123.877,133.349,148.027,0.030,0.014
82,1.3677,160.158,1.849,10.727,162.790,159.198,160.000,160.000,59.642,94.007,39.474,25.324,102.001,108.919,150.000,122.352,133.463,148.709,0.030,0.014
83,1.3843,160.409,1.544,3.712,163.603,160.295,160.000,160.000,61.740,96.595,39.690,24.908,102.222,108.899,150.000,123.502,133.228,145.500,0.030,0.014
84,1.4010,160.281,1.140,2.267,170.333,166.978,160.000,160.000,75.657,102.310,43.326,21.028,102.345,110.812,150.000,126.871,131.489,140.117,0.030,0.014
85,1.4177,159.892,0.992,2.764,166.653,163.938,160.000,160.000,75.498,107.494,42.259,19.190,102.383,108.050,150.000,128.055,131.352,138.105,0.030,0.014
86,1.4344,158.910,0.722,5.762,165.687,163.010,160.000,160.000,75.771,112.777,41.944,13.380,102.212,102.203,150.000,134.553,128.373,152.945,0.028,0.012
87,1.4511,158.852,0.613,7.320,165.289,162.821,160.000,160.000,73.623,114.483,42.223,10.244,102.262,100.054,147.931,138.108,125.614,155.131,0.028,0.014
88,1.4677,158.558,0.140,8.446,164.802,159.130,160.000,160.000,75.957,117.037,42.702,11.438,102.535,101.347,146.830,137.708,125.523,162.968,0.027,0.016
89,1.4844,159.035,0.145,9.327,168.009,158.441,160.000,160.000,73.310,124.953,42.167,11.254,102.256,100.491,146.142,139.485,125.048,158.954,0.027,0.015
90,1.5011,159.492,0.293,11.989,168.933,158.769,160.000,160.000,74.161,124.004,41.746,12.067,102.086,100.933,146.019,139.047,124.664,159.010,0.027,0.015
91,1.5178,159.621,0.417,11.115,170.415,159.970,160.000,160.000,74.376,124.030,41.539,12.082,101.489,101.151,144.876,139.181,122.971,159.763,0.026,0.015
92,1.5345,158.700,0.131,12.532,171.157,160.276,160.000,160.000,75.952,125.166,42.646,11.674,102.212,101.112,143.262,139.248,118.888,161.179,0.027,0.014
93,1.5511,158.221,0.185,10.633,172.204,159.339,160.000,158.713,77.154,125.829,42.150,10.408,101.766,100.479,143.788,140.703,119.318,162.141,0.026,0.014
94,1.5678,157.569,0.157,10.153,174.055,151.932,160.000,158.042,74.980,121.428,41.332,8.419,100.883,99.736,142.815,142.190,117.168,161.237,0.025,0.013
95,1.5845,156.800,0.100,9.375,174.231,153.262,160.000,155.365,78.698,120.016,40.513,6.158,99.913,98.892,143.419,143.492,117.795,162.683,0.023,0.012
96,1.6012,153.404,0.130,8.157,174.522,154.062,160.000,153.445,79.244,123.499,38.055,6.692,98.507,99.041,141.399,143.223,116.106,161.498,0.021,0.012
97,1.6179,151.070,0.072,8.068,173.833,155.323,160.000,151.615,82.378,124.565,38.211,6.516,100.191,97.518,139.124,144.788,118.693,161.546,0.019,0.011
98,1.6345,145.426,0.191,7.923,175.621,156.490,160.000,151.909,83.517,125.848,37.215,3.428,100.831,94.684,138.003,150.000,121.768,160.858,0.017,0.010
99,1.6512,133.269,0.431,7.782,175.537,165.134,160.000,148.316,87.906,132.298,36.937,5.815,104.255,95.034,135.894,150.000,129.362,162.023,0.015,0.007
100,1.6679,131.110,0.569,7.222,173.669,159.102,160.000,147.842,92.923,130.266,34.195,12.907,103.161,100.310,134.406,150.000,128.205,158.103,0.014,0.006
101,1.6846,128.312,0.549,6.563,171.853,157.257,160.000,149.052,94.354,124.174,32.761,18.266,102.185,104.990,134.492,150.000,128.366,153.596,0.013,0.002
102,1.7012,124.539,0.651,6.034,174.323,146.265,160.000,155.353,94.013,122.764,30.477,18.195,98.792,106.097,134.786,150.000,125.232,153.013,0.013,0.006
103,1.7179,122.201,0.614,4.014,174.624,140.532,160.000,157.720,93.499,125.792,26.558,25.028,96.170,113.565,135.136,150.000,129.407,137.068,0.011,0.006
104,1.7346,123.686,0.617,1.855,174.912,135.095,160.000,160.000,93.383,118.698,27.296,24.666,95.491,114.960,137.900,150.000,127.071,144.319,0.012,0.009
105,1.7513,121.551,0.883,0.393,170.742,136.118,160.000,160.000,87.195,115.483,27.650,25.226,94.636,116.538,138.726,150.000,124.913,146.280,0.012,0.009
106,1.7680,121.413,1.097,0.418,172.928,139.306,160.000,160.000,86.899,115.851,28.108,25.325,94.515,117.311,140.404,150.000,128.421,155.509,0.011,0.013
107,1.7846,119.940,1.021,0.799,175.399,142.435,160.000,160.000,86.994,110.718,28.895,25.141,94.805,118.395,139.299,150.000,129.399,155.143,0.010,0.010
108,1.8013,117.407,0.956,0.856,174.173,143.751,160.000,160.000,82.527,107.781,28.620,19.694,94.117,116.635,139.632,150.000,124.953,138.137,0.011,0.009
109,1.8180,118.470,0.849,0.805,178.380,140.133,160.000,160.000,85.378,110.458,28.660,19.010,93.684,114.650,139.792,150.000,122.391,147.344,0.012,0.008
110,1.8347,120.650,0.924,0.526,168.047,131.773,160.000,159.766,89.607,119.743,28.206,18.222,94.480,112.731,140.142,150.000,124.705,150.416,0.012,0.008
111,1.8514,119.701,1.205,0.044,170.797,132.465,160.000,158.790,86.145,116.647,30.866,16.313,95.745,112.095,141.856,150.000,122.206,156.164,0.014,0.009
112,1.8680,119.389,1.320,0.802,170.553,131.415,160.000,160.000,88.439,115.474,28.814,17.968,93.680,113.570,141.175,150.000,122.544,155.614,0.012,0.008
113,1.8847,118.711,1.092,0.978,167.669,130.648,160.000,160.000,90.172,110.323,27.560,18.778,92.348,114.180,137.575,150.000,120.730,154.800,0.011,0.008
114,1.9014,115.133,0.935,1.118,171.716,128.909,160.000,160.000,87.623,107.382,24.704,20.144,89.771,116.640,138.605,150.000,122.267,155.777,0.010,0.008
115,1.9181,114.864,0.960,1.038,169.990,130.153,160.000,160.000,88.928,100.073,25.365,20.447,89.995,116.489,136.569,150.000,122.765,154.857,0.010,0.008
116,1.9347,112.683,1.224,1.040,170.610,129.259,160.000,160.000,89.025,95.312,25.048,21.018,89.872,117.516,136.123,150.000,124.427,150.629,0.009,0.009
117,1.9514,113.231,0.953,0.841,168.484,129.824,160.000,160.000,89.405,91.913,25.543,21.479,90.418,117.382,135.484,150.000,126.203,151.687,0.009,0.009
118,1.9681,112.663,1.101,0.977,168.992,132.567,160.000,160.000,87.405,86.757,25.921,21.583,90.275,117.736,135.685,150.000,119.976,150.569,0.010,0.008
119,1.9848,112.564,1.171,0.881,167.754,133.658,160.000,160.000,85.243,81.093,26.538,21.549,90.879,117.929,134.690,150.000,114.378,153.795,0.011,0.009
120,2.0015,112.066,1.339,0.824,167.466,136.637,160.000,160.000,85.677,65.339,24.975,21.116,89.071,117.640,133.291,150.000,124.932,156.176,0.008,0.008
121,2.0181,111.745,1.198,1.133,167.761,138.518,160.000,160.000,84.978,65.734,24.464,21.373,88.326,117.644,134.626,150.000,127.393,156.774,0.008,0.008
122,2.0348,110.892,0.972,1.278,166.251,138.492,160.000,160.000,85.720,63.461,24.390,20.479,88.971,115.376,132.732,150.000,127.866,159.143,0.008,0.008
123,2.0515,113.198,0.895,1.071,164.749,137.011,160.000,160.000,88.806,61.758,24.226,19.123,90.424,111.826,131.664,150.000,126.808,159.218,0.008,0.008
124,2.0682,113.788,0.680,0.192,166.131,138.444,160.000,160.000,90.124,55.190,23.336,20.386,90.138,114.251,132.761,150.000,127.693,156.534,0.008,0.008
125,2.0849,114.981,0.567,0.304,166.259,136.555,160.000,160.000,90.952,52.253,21.288,20.249,90.306,112.075,132.278,150.000,126.882,155.890,0.008,0.007
126,2.1015,118.976,0.527,0.124,165.640,133.736,160.000,160.000,92.926,55.604,20.719,22.015,90.724,111.164,131.870,150.000,124.189,159.808,0.009,0.007
127,2.1182,120.154,0.547,0.225,164.116,133.711,160.000,160.000,96.568,62.810,20.971,21.536,91.385,110.409,131.660,150.000,124.708,158.811,0.009,0.007
128,2.1349,122.724,0.507,0.237,165.222,133.977,160.000,160.000,102.285,62.599,17.685,25.159,90.982,112.468,132.002,150.000,126.637,159.032,0.008,0.007
129,2.1516,121.844,0.411,0.197,166.371,136.743,160.000,160.000,103.522,65.919,18.966,24.048,91.882,111.827,131.293,150.000,127.263,152.029,0.008,0.007
130,2.1683,122.575,0.288,0.445,166.496,139.173,160.000,160.000,106.165,66.014,18.903,23.788,92.000,111.906,132.006,150.000,127.242,150.702,0.009,0.008
131,2.1849,123.224,0.084,1.207,166.943,141.993,160.000,160.000,108.628,72.284,20.624,22.473,93.847,111.912,132.979,150.000,128.825,156.885,0.009,0.007
132,2.2016,122.240,0.201,1.753,165.730,146.643,160.000,160.000,115.156,71.912,20.130,20.314,92.388,109.828,134.862,150.000,129.897,157.584,0.009,0.008
133,2.2183,119.506,0.045,1.776,164.812,148.973,159.154,160.000,120.887,73.288,20.271,17.999,92.317,110.455,142.179,150.000,134.881,156.265,0.010,0.008
134,2.2350,120.994,0.255,1.920,166.893,149.633,155.179,160.000,131.561,77.410,22.350,17.806,94.792,111.436,141.585,150.000,134.998,155.182,0.011,0.008
135,2.2516,119.369,0.123,3.276,168.856,152.379,151.329,160.000,136.172,78.747,26.693,16.490,97.984,113.403,145.361,150.000,139.512,155.348,0.012,0.008
136,2.2683,118.969,0.048,4.564,172.527,153.814,144.212,160.000,145.564,91.697,26.610,17.753,97.084,115.527,139.528,150.000,137.610,152.100,0.011,0.008
137,2.2850,120.429,0.007,3.839,173.380,155.475,131.289,144.784,152.650,107.612,28.273,16.396,100.825,113.958,142.326,150.000,147.164,156.968,0.010,0.007
138,2.3017,118.290,0.013,4.331,171.539,162.832,128.960,141.906,149.311,119.373,28.416,16.320,100.145,115.300,146.193,150.000,152.529,154.190,0.009,0.007
139,2.3184,118.378,0.175,5.267,170.398,158.705,123.516,133.443,146.104,126.893,30.134,15.706,101.179,113.900,143.348,150.000,152.448,159.246,0.009,0.008
140,2.3350,117.878,0.177,5.309,169.230,158.626,121.118,129.788,137.222,133.624,29.659,16.111,100.443,113.988,139.762,150.000,148.300,165.208,0.009,0.009
141,2.3517,113.022,0.062,5.355,166.735,157.718,110.038,126.453,130.732,137.179,33.154,15.194,99.470,114.039,132.689,150.000,144.660,158.628,0.008,0.010
142,2.3684,117.079,0.129,7.005,165.102,152.115,120.778,128.594,135.401,130.411,34.677,23.109,99.880,119.560,129.754,150.000,143.385,156.076,0.008,0.011
143,2.3851,120.536,0.216,8.292,162.785,149.690,119.655,125.858,136.125,129.227,35.751,22.984,101.443,117.932,130.039,150.000,144.195,156.085,0.008,0.009
144,2.4018,121.846,0.223,8.337,159.820,149.371,108.554,115.774,136.730,134.185,35.388,25.422,102.109,120.136,130.632,150.000,147.477,160.264,0.007,0.012
145,2.4184,125.068,0.492,8.803,158.336,145.398,107.112,117.097,135.180,136.207,32.990,29.447,100.752,121.137,132.669,150.000,143.393,155.759,0.008,0.014
146,2.4351,129.673,0.717,9.177,155.695,141.905,113.496,121.256,124.651,134.978,34.688,36.238,105.365,123.924,127.264,150.000,144.414,140.731,0.007,0.016
147,2.4518,131.075,0.843,8.432,152.313,144.896,106.500,111.841,124.251,150.408,34.822,38.696,108.470,124.765,126.263,150.000,146.169,136.327,0.008,0.014
148,2.4685,129.385,0.916,6.791,151.403,144.195,105.937,108.108,118.324,146.790,34.216,34.499,107.528,119.912,128.908,150.000,146.696,154.612,0.008,0.012
149,2.4852,127.070,0.972,5.189,146.150,138.796,118.118,108.691,128.050,139.130,34.693,35.011,106.941,120.163,133.383,150.000,143.785,145.533,0.009,0.010
150,2.5018,128.100,0.927,3.798,144.437,136.890,132.171,120.380,138.908,125.916,36.259,26.010,106.290,111.945,134.954,150.000,140.566,142.471,0.010,0.006
151,2.5185,127.041,0.539,2.026,144.341,142.376,136.897,136.799,138.495,113.533,37.227,24.931,106.364,109.913,135.096,150.000,138.088,142.191,0.011,0.005
152,2.5352,125.744,0.371,0.091,144.164,142.475,137.409,137.414,134.158,110.502,37.004,21.840,104.971,107.907,137.110,150.000,134.323,141.026,0.013,0.003
153,2.5519,124.984,0.378,1.140,145.831,144.747,139.550,143.569,132.421,107.339,37.719,19.965,105.404,105.278,137.895,150.000,134.111,148.461,0.013,0.004
154,2.5685,126.494,0.129,1.158,147.542,151.236,143.920,156.989,125.517,99.569,36.996,18.313,104.895,102.918,139.902,150.000,138.317,151.161,0.011,0.005
155,2.5852,127.241,0.137,1.085,148.409,153.355,145.227,159.214,120.482,98.122,37.374,19.925,105.202,104.237,140.539,150.000,133.283,150.668,0.014,0.005
156,2.6019,130.982,0.171,2.223,149.886,154.092,151.389,160.000,121.150,93.188,36.708,19.650,104.690,103.834,140.054,150.000,130.157,149.471,0.014,0.006
157,2.6186,132.866,0.186,3.341,151.256,150.786,155.650,160.000,112.231,88.212,36.612,17.402,104.398,101.333,141.163,150.000,129.676,148.443,0.015,0.007
158,2.6353,132.310,0.438,4.035,152.926,149.023,158.404,160.000,98.030,86.717,37.046,16.742,105.301,99.809,142.199,150.000,130.723,154.289,0.016,0.007
